Company,Board of Directors or Executive Management,Position,Approximate Categorization,Special Area,Name,Nationality,Year of Birth,Educational Background,Gender,Remarks
AAK,Board of Directors,Chairman,Chair,Chair,Patrik Andersson,Sweden,1963,Business,Male,
AAK,Board of Directors,Board Member,Board Member,Board Member,Märta Schörling Andreen,Sweden,1984,Business,Female,
AAK,Board of Directors,Board Member,Board Member,Board Member,Nils-Johan Andersson,Sweden,1962,Business,Male,
AAK,Board of Directors,Board Member,Board Member,Board Member,Fabienne Saadane-Oaks,France,1958,"Engineering, Business",Female,
AAK,Board of Directors,Board Member,Board Member,Board Member,Ian Roberts,UK,1970,Engineering,Male,
AAK,Executive Management,President and CEO,CEO,CEO,Johan Westman,Sweden,1973,"Engineering, Business",Male,
AAK,Executive Management,"Chief Financial Officer, Vice President AAK AB",Support Function,Finance,Tomas Bergendahl,Sweden,1974,Business,Male,
AAK,Executive Management,"President AAK AMEA, People & Organizational Performance",Business Unit Head,"Human Resources, Other: ""AMEA Head""",Sten Estrup,Denmark,1968,"Sciences, Business, Other: ""HRM""",Male,
AAK,Executive Management,"President AAK Europe & Strategic Accounts, Vice President AAK AB",Business Unit Head,"Sales, Other: ""Europe Head""",Susanne Jaspers,Germany,1973,Business,Female,
AAK,Executive Management,"President AAK Americas, Vice President AAK AB",Business Unit Head,"Country Head, Other: ""Americas Head""",Octavio Díaz de León,Mexico,1967,"Engineering, Business",Male,
AAK,Executive Management,"President Global Sourcing & Trading, Sustainability",Business Unit Head,"Sustainability, Other: ""Sourcing Head""",Tim Stephenson,UK,1961,"Other: ""Mathematics""",Male,
AAK,Executive Management,"President Global Operations, Vice President AAK AB",Business Unit Head,"Other: ""Operations Head""",David Smith,UK,1960,Business,Male,
AAK,Executive Management,"President Commercial Development and Innovation, Vice President AAK AB",Business Unit Head,Innovation,Niall Sands,Ireland,1979,"Business, Engineering",Male,
ABB,Board of Directors,Chairman,Chair,Chair,Peter R. Voser,Switzerland,1958,Business,Male,
ABB,Board of Directors,Board Member,Board Member,Board Member,David Constable,"Canada, US",1961,"Engineering, Business",Male,
ABB,Board of Directors,Board Member,Board Member,Board Member,Frederico Fleury Curado,"Brazil, Portugal",1961,"Engineering, Business",Male,
ABB,Board of Directors,Board Member,Board Member,Board Member,Lars Förberg,"Sweden, Switzerland",1965,Business,Male,
ABB,Board of Directors,Board Member,Board Member,Board Member,Johan Forssell,Sweden,1971,Business,Male,
ABB,Board of Directors,Board Member,Board Member,Board Member,Geraldine Matchett,"Switzerland, UK, France",1972,"Sciences, Business",Female,
ABB,Board of Directors,Board Member,Board Member,Board Member,Denise C. Johnson,USA,1966,"Engineering, Business",Female,
ABB,Board of Directors,Board Member,Board Member,Board Member,Jennifer Xin-Zhe Li,Canada,1967,"Business, Arts",Female,
ABB,Board of Directors,Board Member,Board Member,Board Member,David Meline,"USA, Switzerland",1957,"Engineering, Business",Male,
ABB,Board of Directors,Board Member,Board Member,Board Member,Mats Rahmström,Sweden,1965,Business,Male,
ABB,Executive Management,President and Chief Executive Officer,CEO,CEO,Morten Wierod,Norway,1972,Engineering,Male,
ABB,Executive Management,Chief Financial Officer,Support Function,Finance,Timo Ihamuotila,Finland,1966,Business,Male,
ABB,Executive Management,Chief Human Resources Officer,Support Function,Human Resources,Carolina Granat,Sweden,1972,Human Resources,Female,
ABB,Executive Management,Chief Communications and Sustainability Officer,Support Function,"Comms and marketing, Sustainability",Karin Lepasoon,Sweden,1968,Law,Female,
ABB,Executive Management,"President, Electrification Business Area",Business Unit Head,"Other: ""Electrification Head""",Giampiero Frisio,Italy,1969,"Engineering, Business",Male,
ABB,Executive Management,"President, Motion Business Area",Business Unit Head,"Other: ""Motion Head""",Brandon Spencer,USA,1978,Business,Male,
ABB,Executive Management,"President, Process Automation Business Area",Business Unit Head,"Other: ""Process Automation Head""",Peter Terwiesch,"Germany, Switzerland",1966,"Engineering, Business",Male,
ABB,Executive Management,"President, Robotics & Discrete Automation Business Area",Business Unit Head,Innovation,Sami Atiya,Germany,1964,"Engineering, Business",Male,
AddLife,Board of Directors,Chairman,Chair,Chair,Johan Sjö,Sweden (predicted),1967,Business,Male,
AddLife,Board of Directors,Board Member,Board Member,Board Member,Stefan Hedelius,Sweden (predicted),1969,Business,Male,
AddLife,Board of Directors,Board Member,Board Member,Board Member,Eva Nilsagård,Sweden (predicted),1964,Business,Female,
AddLife,Board of Directors,Board Member,Board Member,Board Member,Birgit Stattin Norinder,Sweden (predicted),1948,"Medicine, Arts",Female,
AddLife,Board of Directors,Board Member,Board Member,Board Member,Eva Elmstedt,Sweden (predicted),1960,"Business, Engineering",Female,
AddLife,Board of Directors,Board Member,Board Member,Board Member,Håkan Roos,Sweden (predicted),1955,Business,Male,
AddLife,Executive Management,CEO,CEO,CEO,Fredrik Dalborg,Sweden (predicted),1972,Business,Male,
AddLife,Executive Management,CFO,Support Function,Finance,Christina Rubenhag,Sweden (predicted),1970,Business,Female,
Addnode Group,Board of Directors,Chairman,Chair,Chair,Staffan Hanstorp,Sweden (predicted),1957,Engineering,Male,
Addnode Group,Board of Directors,"Board Member, Audit Committee Chair",Board Member,Board Member,Jan Andersson,Sweden (predicted),1959,Engineering,Male,
Addnode Group,Board of Directors,"Board Member, Audit Committee Member",Board Member,Board Member,Kristofer Arwin,Sweden (predicted),1970,Business,Male,
Addnode Group,Board of Directors,Board Member,Board Member,Board Member,Johanna Frelin,Sweden (predicted),1969,"Business, Humanities",Female,
Addnode Group,Board of Directors,"Board Member, Remuneration Committee Member",Board Member,Board Member,Thord Wilkne,Sweden (predicted),1943,Business,Male,
Addnode Group,Board of Directors,"Board Member, Audit Committee Member",Board Member,Board Member,Kristina Willgård,Sweden (predicted),1965,Business,Female,
Addnode Group,Board of Directors,Board Member,Board Member,Board Member,Petra Ålund,Sweden (predicted),1967,Business,Female,
Addnode Group,Executive Management,President and CEO,CEO,CEO,Johan Andersson,Sweden (predicted),1974,Business,Male,
Addnode Group,Executive Management,CFO,Support Function,Finance,Kristina Elfström Mackintosh,Sweden (predicted),1964,"Business, Law",Female,
Addnode Group,Executive Management,"President, Division Product Lifecycle Management",Business Unit Head,"Other: ""PLM Head""",Magnus Falkman,Sweden (predicted),1976,"Engineering, Business",Male,
Addnode Group,Executive Management,"President, Division Process Management",Business Unit Head,"Other: ""Process Management Head""",Andreas Wikholm,Sweden (predicted),1974,"Medicine, Business",Male,
Addnode Group,Executive Management,Head of M&A,Support Function,"Other: ""M&A Head""",Elisabeth Forslin,Sweden (predicted),1971,Business,Female,
Addtech AB,Board of Directors,Chairman,Chair,Chair,Johan Sjö,Sweden (predicted),1967,Business,Male,
Addtech AB,Board of Directors,Board Member,Board Member,Board Member,Eva Elmstedt,Sweden (predicted),1960,"Business, Engineering",Female,
Addtech AB,Board of Directors,Board Member,Board Member,Board Member,Kenth Eriksson,Sweden (predicted),1961,"Engineering, Business",Male,
Addtech AB,Board of Directors,Board Member,Board Member,Board Member,Ulf Mattsson,Sweden (predicted),1964,Business,Male,
Addtech AB,Board of Directors,Board Member,Board Member,Board Member,Niklas Stenberg,Sweden (predicted),1974,Law,Male,
